"Citation: Lawrence H. Officer, 'Exchange Rates Between the United States Dollar and Forty-one Currencies,' MeasuringWorth, 2025. "
The table(s) present the price of one United States Dollar.
"Argentina, 1600 - 2025"
"1971","618.2760 Lire"
"1972","583.7030 Lire"
"1973","581.6660 Lire"
"1974","650.5330 Lire"
"1975","652.4010 Lire"
"1976","830.2890 Lire"
"1977","882.7680 Lire"
"1978","848.7520 Lire"
"1979","831.1000 Lire"
"1980","856.2000 Lire"
"1981","1138.6000 Lire"
"1982","1354.0000 Lire"
"1983","1519.3000 Lire"
"1984","1756.1000 Lire"
"1985","1908.9000 Lire"
"1986","1491.1600 Lire"
"1987","1297.0300 Lire"
"1988","1302.3900 Lire"
"1989","1372.2800 Lire"
"1990","1198.2700 Lire"
"1991","1241.2800 Lire"
"1992","1232.1700 Lire"
"1993","1573.4100 Lire"
"1994","1611.4900 Lire"
"1995","1629.4500 Lire"
"1996","1542.7600 Lire"
"1997","1703.8100 Lire"
"1998","1736.8500 Lire"
"1999","2062.7100 Lire"
"Japan, 1600 - 2025"
"1916","1.97 Yen"
"1917","1.95 Yen"
"1918","1.89 Yen"
"1919","1.95 Yen"
"1920","1.99 Yen"
"1921","2.07 Yen"
"1922","2.09 Yen"
"1923","2.06 Yen"
"1924","2.43 Yen"
"1925","2.44 Yen"
"1926","2.12 Yen"
"1927","2.11 Yen"
"1928","2.15 Yen"
"1929","2.17 Yen"
"1930","2.02 Yen"
"1931","2.05 Yen"
"1932","3.56 Yen"
"1933","3.90 Yen"
"1934","3.37 Yen"
"1935","3.48 Yen"
"1936","3.45 Yen"
"1937","3.47 Yen"
"1938","3.52 Yen"
"1939","3.85 Yen"
"1940","4.27 Yen"
"1941","4.27 Yen"
"1956","359.84 Yen"
"1957","359.84 Yen"
"1958","359.84 Yen"
"1959","359.97 Yen"
"1960","359.97 Yen"
"1961","361.14 Yen"
"1962","360.86 Yen"
"1963","361.49 Yen"
"1964","361.99 Yen"
"1965","361.51 Yen"
"1966","362.35 Yen"
"1967","362.15 Yen"
"1968","360.56 Yen"
"1969","358.38 Yen"
"1970","358.15 Yen"
"1971","347.48 Yen"
"1972","303.08 Yen"
"1973","270.89 Yen"
"1974","291.53 Yen"
"1975","296.69 Yen"
"1976","296.38 Yen"
"1977","267.80 Yen"
"1978","208.42 Yen"
"1979","219.02 Yen"
"1980","226.63 Yen"
"1981","220.63 Yen"
"1982","249.06 Yen"
"1983","237.55 Yen"
"1984","237.45 Yen"
"1985","238.47 Yen"
"1986","168.35 Yen"
"1987","144.60 Yen"
"1988","128.17 Yen"
"1989","138.07 Yen"
"1990","145.00 Yen"
"1991","134.59 Yen"
"1992","126.78 Yen"
"1993","111.08 Yen"
"1994","102.18 Yen"
"1995","93.96 Yen"
"1996","108.78 Yen"
"1997","121.06 Yen"
"1998","130.99 Yen"
"1999","113.73 Yen"
"2000","107.80 Yen"
"2001","121.57 Yen"
"2002","125.22 Yen"
"2003","115.94 Yen"
"2004","108.15 Yen"
"2005","110.11 Yen"
"2006","116.31 Yen"
"2007","117.76 Yen"
"2008","103.39 Yen"
"2009","93.68 Yen"
"2010","87.78 Yen"
"2011","79.70 Yen"
"2012","79.82 Yen"
"2013","97.60 Yen"
"2014","105.74 Yen"
"2015","121.04 Yen"
"2016","108.79 Yen"
"2017","112.17 Yen"
"2018","110.42 Yen"
"2019","109.01 Yen"
"2020","106.77 Yen"
"2021","109.75 Yen"
"2022","131.50 Yen"
"2023","140.49 Yen"
"2024","151.44 Yen"
"Korea, 1600 - 2025"
"1982","731.93 Won"
"1983","776.04 Won"
"1984","807.91 Won"
"1985","861.89 Won"
"1986","884.63 Won"
"1987","825.94 Won"
"1988","734.52 Won"
"1989","674.29 Won"
"1990","710.64 Won"
"1991","736.73 Won"
"1992","784.66 Won"
"1993","805.75 Won"
"1994","806.93 Won"
"1995","772.69 Won"
"1996","805.00 Won"
"1997","947.65 Won"
"1998","1400.40 Won"
"1999","1189.84 Won"
"2000","1130.90 Won"
"2001","1292.01 Won"
"2002","1250.31 Won"
"2003","1192.08 Won"
"2004","1145.24 Won"
"2005","1023.75 Won"
"2006","954.32 Won"
"2007","928.97 Won"
"2008","1098.71 Won"
"2009","1274.63 Won"
"2010","0.00 Won"
"2010","1155.74 Won"
"2011","1106.94 Won"
"2012","1126.16 Won"
"2013","1094.67 Won"
"2014","1052.29 Won"
"2015","1131.16 Won"
"2016","1160.43 Won"
"2017","1130.42 Won"
"2018","1100.56 Won"
"2019","1165.36 Won"
"2020","1180.28 Won"
"2021","1143.95 Won"
"2022","1292.03 Won"
"2023","1305.84 Won"
"2024","1363.53 Won"
"Malaysia, 1600 - 2025"
"1921","2.2810 Straits Settlements Dollar"
"1922","1.9695 Straits Settlements Dollar"
"1923","1.8692 Straits Settlements Dollar"
"1924","1.9511 Straits Settlements Dollar"
"1925","1.7808 Straits Settlements Dollar"
"1926","1.7771 Straits Settlements Dollar"
"1927","1.7842 Straits Settlements Dollar"
"1928","1.7767 Straits Settlements Dollar"
"1929","1.7853 Straits Settlements Dollar"
"1930","1.7869 Straits Settlements Dollar"
"1931","1.9068 Straits Settlements Dollar"
"1932","2.4754 Straits Settlements Dollar"
"1933","2.0312 Straits Settlements Dollar"
"1934","1.6948 Straits Settlements Dollar"
"1935","1.7491 Straits Settlements Dollar"
"1936","1.7165 Straits Settlements Dollar"
"1937","1.7249 Straits Settlements Dollar"
"1938","1.7569 Straits Settlements Dollar"
"1939","1.9329 Straits Settlements Dollar"
"1940","2.1286 Straits Settlements Dollar"
"1941","2.1216 Straits Settlements Dollar"
"1942","2.1314 Straits Settlements Dollar"
"1949","2.3270 Straits Settlements Dollar"
"1950","3.0499 Straits Settlements Dollar"
"1951","3.0443 Straits Settlements Dollar"
"1952","3.0673 Malayan Dollar"
"1953","3.0680 Malayan Dollar"
"1954","3.0636 Malayan Dollar"
"1955","3.0652 Malayan Dollar"
"1956","3.0692 Malayan Dollar"
"1957","3.0744 Malayan Dollar"
"1958","3.0518 Malayan Dollar"
"1959","3.0435 Malayan Dollar"
"1960","3.0472 Malayan Dollar"
"1961","3.0619 Malayan Dollar"
"1962","3.0528 Malayan Dollar"
"1963","3.0615 Malayan Dollar"
"1964","3.0707 Malayan Dollar"
"1965","3.0666 Malayan Dollar"
"1966","3.0733 Malayan Dollar"
"1967","3.0751 Malaysian Dollar"
"1968","3.0683 Malaysian Dollar"
"1969","3.0653 Malaysian Dollar"
"1970","3.0868 Malaysian Dollar"
"1971","3.0313 Malaysian Dollar"
"1972","2.8082 Malaysian Dollar"
"1973","2.4397 Malaysian Dollar"
"1974","2.3991 Malaysian Dollar"
"1975","2.3950 Malaysian Dollar"
"1976","2.5419 Ringgit"
"1977","2.4618 Ringgit"
"1978","2.3143 Ringgit"
"1979","2.1721 Ringgit"
"1980","2.1767 Ringgit"
"1981","2.3048 Ringgit"
"1982","2.3395 Ringgit"
"1983","2.3204 Ringgit"
"1984","2.3448 Ringgit"
"1985","2.4806 Ringgit"
"1986","2.5831 Ringgit"
"1987","2.5186 Ringgit"
"1988","2.6190 Ringgit"
"1989","2.7079 Ringgit"
"1990","2.7057 Ringgit"
"1991","2.7503 Ringgit"
"1992","2.5463 Ringgit"
"1993","2.5738 Ringgit"
"1994","2.6237 Ringgit"
"1995","2.5073 Ringgit"
"1996","2.5154 Ringgit"
"1997","2.8173 Ringgit"
"1998","3.9254 Ringgit"
"1999","3.8000 Ringgit"
"2000","3.8000 Ringgit"
"2001","3.8000 Ringgit"
"2002","3.8000 Ringgit"
"2003","3.8000 Ringgit"
"2004","3.8000 Ringgit"
"2005","3.7869 Ringgit"
"2006","3.6661 Ringgit"
"2007","3.4354 Ringgit"
"2008","3.3292 Ringgit"
"2009","3.5231 Ringgit"
"2010","3.2175 Ringgit"
"2011","3.0564 Ringgit"
"2012","3.0862 Ringgit"
"2013","3.1488 Ringgit"
"2014","3.2729 Ringgit"
"2015","3.9100 Ringgit"
"2016","3.2729 Ringgit"
"2017","4.3004 Ringgit"
"2018","4.0351 Ringgit"
"2019","4.1400 Ringgit"
"2020","4.2000 Ringgit"
"2021","4.1433 Ringgit"
"2022","4.4011 Ringgit"
"2023","4.5606 Ringgit"
"Mexico, 1600 - 2025"
"1921","2.058 Old Pesos"
"1922","2.053 Old Pesos"
"1923","2.060 Old Pesos"
"1924","2.061 Old Pesos"
"1925","2.025 Old Pesos"
"1926","2.070 Old Pesos"
"1927","2.118 Old Pesos"
"1928","2.079 Old Pesos"
"1929","2.075 Old Pesos"
"1930","2.122 Old Pesos"
"1931","2.099 Old Pesos"
"1932","3.140 Old Pesos"
"1933","3.558 Old Pesos"
"1934","3.605 Old Pesos"
"1935","3.600 Old Pesos"
"1936","3.602 Old Pesos"
"1937","3.604 Old Pesos"
"1938","4.520 Old Pesos"
"1939","5.181 Old Pesos"
"1940","5.392 Old Pesos"
"1941","4.869 Old Pesos"
"1942","4.862 Old Pesos"
"1943","4.860 Old Pesos"
"1944","4.859 Old Pesos"
"1945","4.859 Old Pesos"
"1946","4.859 Old Pesos"
"1947","4.860 Old Pesos"
"1948","5.302 Old Pesos"
"1949","7.924 Old Pesos"
"1950","8.643 Old Pesos"
"1951","8.648 Old Pesos"
"1952","8.630 Old Pesos"
"1953","8.615 Old Pesos"
"1954","11.048 Old Pesos"
"1955","12.491 Old Pesos"
"1956","12.491 Old Pesos"
"1957","12.491 Old Pesos"
"1958","12.491 Old Pesos"
"1959","12.491 Old Pesos"
"1960","12.491 Old Pesos"
"1961","12.491 Old Pesos"
"1962","12.491 Old Pesos"
"1963","12.491 Old Pesos"
"1964","12.491 Old Pesos"
"1965","12.491 Old Pesos"
"1966","12.491 Old Pesos"
"1967","12.491 Old Pesos"
"1968","12.491 Old Pesos"
"1969","12.491 Old Pesos"
"1970","12.491 Old Pesos"
"1971","12.491 Old Pesos"
"1972","12.500 Old Pesos"
"1973","12.500 Old Pesos"
"1974","12.500 Old Pesos"
"1975","12.500 Old Pesos"
"1976","14.459 Old Pesos"
"1977","22.605 Old Pesos"
"1978","22.781 Old Pesos"
"1979","22.816 Old Pesos"
"1980","22.968 Old Pesos"
"1981","24.547 Old Pesos"
"1982","72.990 Old Pesos"
"1983","155.010 Old Pesos"
"1984","192.310 Old Pesos"
"1985","256.872 Old Pesos"
"1986","611.773 Old Pesos"
"1987","1378.180 Old Pesos"
"1988","2273.100 Old Pesos"
"1989","2461.470 Old Pesos"
"1990","2812.600 Old Pesos"
"1991","3018.430 Old Pesos"
"1992","3094.900 Old Pesos"
"1993","3.124 Pesos"
"1994","3.385 Pesos"
"1995","6.447 Pesos"
"1996","7.600 Pesos"
"1997","7.918 Pesos"
"1998","9.152 Pesos"
"1999","9.553 Pesos"
"2000","9.459 Pesos"
"2001","9.337 Pesos"
"2002","9.663 Pesos"
"2003","10.793 Pesos"
"2004","11.290 Pesos"
"2005","10.894 Pesos"
"2006","10.906 Pesos"
"2007","10.928 Pesos"
"2008","11.143 Pesos"
"2009","13.498 Pesos"
"2010","12.623 Pesos"
"2011","12.427 Pesos"
"2012","13.154 Pesos"
"2013","12.758 Pesos"
"2014","13.302 Pesos"
"2015","15.873 Peso"
"2016","18.664 Peso"
"2017","18.927 Peso"
"2018","19.244 Peso"
"2019","19.260 Peso"
"2020","21.490 Peso"
"2021","20.272 Peso"
"2022","20.127 Peso"
"2023","17.759 Peso"
"2024","18.273 Peso"
"Netherlands, 1600 - 2025"
"1913","2.4925 Guilder"
"1914","2.4622 Guilder"
"1915","2.4696 Guilder"
"1916","2.3915 Guilder"
"1917","2.3826 Guilder"
"1918","2.1256 Guilder"
"1919","2.5545 Guilder"
"1920","2.9054 Guilder"
"1921","2.9720 Guilder"
"1922","2.5976 Guilder"
"1923","2.5575 Guilder"
"1924","2.6170 Guilder"
"1925","2.4900 Guilder"
"1926","2.4939 Guilder"
"1927","2.4934 Guilder"
"1928","2.4861 Guilder"
"1929","2.4899 Guilder"
"1930","2.4860 Guilder"
"1931","2.4857 Guilder"
"1932","2.4817 Guilder"
"1933","1.9334 Guilder"
"1934","1.4841 Guilder"
"1935","1.4768 Guilder"
"1936","1.5509 Guilder"
"1937","1.8167 Guilder"
"1938","1.8179 Guilder"
"1939","1.8749 Guilder"
"1940","1.8822 Guilder"
"1945","2.6362 Guilder"
"1946","2.6446 Guilder"
"1947","2.6483 Guilder"
"1948","2.6548 Guilder"
"1949","2.8962 Guilder"
"1950","3.8092 Guilder"
"1951","3.8075 Guilder"
"1952","3.8002 Guilder"
"1953","3.7965 Guilder"
"1954","3.7907 Guilder"
"1955","3.8124 Guilder"
"1956","3.8295 Guilder"
"1957","3.8211 Guilder"
"1958","3.7852 Guilder"
"1959","3.7747 Guilder"
"1960","3.7718 Guilder"
"1961","3.6291 Guilder"
"1962","3.6029 Guilder"
"1963","3.6010 Guilder"
"1964","3.6070 Guilder"
"1965","3.6005 Guilder"
"1966","3.6193 Guilder"
"1967","3.6024 Guilder"
"1968","3.6198 Guilder"
"1969","3.6242 Guilder"
"1970","3.6165 Guilder"
"1971","3.4904 Guilder"
"1972","3.2100 Guilder"
"1973","2.7795 Guilder"
"1974","2.6833 Guilder"
"1975","2.5232 Guilder"
"1976","2.6423 Guilder"
"1977","2.4539 Guilder"
"1978","2.1606 Guilder"
"1979","2.0072 Guilder"
"1980","1.9875 Guilder"
"1981","2.4998 Guilder"
"1982","2.6719 Guilder"
"1983","2.8543 Guilder"
"1984","3.2083 Guilder"
"1985","3.3184 Guilder"
"1986","2.4485 Guilder"
"1987","2.0264 Guilder"
"1988","1.9778 Guilder"
"1989","2.1219 Guilder"
"1990","1.8215 Guilder"
"1991","1.8720 Guilder"
"1992","1.7587 Guilder"
"1993","1.8585 Guilder"
"1994","1.8190 Guilder"
"1995","1.6044 Guilder"
"1996","1.6863 Guilder"
"1997","1.9525 Guilder"
"1998","1.9837 Guilder"
"1999","2.3476 Guilder"
"New Zealand, 1600 - 2025"
"1928","0.2064 New Zealand Pounds"
"1929","0.2069 New Zealand Pounds"
"1930","0.2136 New Zealand Pounds"
"1931","0.2408 New Zealand Pounds"
"1932","0.3123 New Zealand Pounds"
"1933","0.2941 New Zealand Pounds"
"1934","0.2485 New Zealand Pounds"
"1935","0.2556 New Zealand Pounds"
"1936","0.2507 New Zealand Pounds"
"1937","0.2519 New Zealand Pounds"
"1938","0.2549 New Zealand Pounds"
"1939","0.2818 New Zealand Pounds"
"1940","0.3264 New Zealand Pounds"
"1941","0.3100 New Zealand Pounds"
"1942","0.3098 New Zealand Pounds"
"1943","0.3084 New Zealand Pounds"
"1944","0.3082 New Zealand Pounds"
"1945","0.3092 New Zealand Pounds"
"1946","0.3100 New Zealand Pounds"
"1947","0.3103 New Zealand Pounds"
"1948","0.2853 New Zealand Pounds"
"1949","0.2739 New Zealand Pounds"
"1950","0.3606 New Zealand Pounds"
"1951","0.3608 New Zealand Pounds"
"1952","0.3617 New Zealand Pounds"
"1953","0.3591 New Zealand Pounds"
"1954","0.3596 New Zealand Pounds"
"1955","0.3618 New Zealand Pounds"
"1956","0.3613 New Zealand Pounds"
"1957","0.3616 New Zealand Pounds"
"1958","0.3595 New Zealand Pounds"
"1959","0.3596 New Zealand Pounds"
"1960","0.3597 New Zealand Pounds"
"1961","0.3604 New Zealand Pounds"
"1962","0.3597 New Zealand Pounds"
"1963","0.3607 New Zealand Pounds"
"1964","0.3617 New Zealand Pounds"
"1965","0.3612 New Zealand Pounds"
"1966","0.3616 New Zealand Pounds"
"1967","0.3696 New Zealand Pounds"
"1968","0.8979 New Zealand Dollar"
"1969","0.8992 New Zealand Dollar"
"1970","0.8970 New Zealand Dollar"
"1971","0.8794 New Zealand Dollar"
"1972","0.8379 New Zealand Dollar"
"1973","0.7351 New Zealand Dollar"
"1974","0.6666 New Zealand Dollar"
"1975","0.8254 New Zealand Dollar"
"1976","1.0089 New Zealand Dollar"
"1977","1.0321 New Zealand Dollar"
"1978","0.9649 New Zealand Dollar"
"1979","0.9782 New Zealand Dollar"
"1980","1.0273 New Zealand Dollar"
"1981","1.1514 New Zealand Dollar"
"1982","1.3315 New Zealand Dollar"
"1983","1.4972 New Zealand Dollar"
"1984","1.7290 New Zealand Dollar"
"1985","2.0100 New Zealand Dollar"
"1986","1.9063 New Zealand Dollar"
"1987","1.6855 New Zealand Dollar"
"1988","1.5253 New Zealand Dollar"
"1989","1.6724 New Zealand Dollar"
"1990","1.6773 New Zealand Dollar"
"1991","1.7291 New Zealand Dollar"
"1992","1.8590 New Zealand Dollar"
"1993","1.8475 New Zealand Dollar"
"1994","1.6847 New Zealand Dollar"
"1995","1.5238 New Zealand Dollar"
"1996","1.4542 New Zealand Dollar"
"1997","1.5095 New Zealand Dollar"
"1998","1.8653 New Zealand Dollar"
"1999","1.8889 New Zealand Dollar"
"2000","2.1891 New Zealand Dollar"
"2001","2.3798 New Zealand Dollar"
"2002","2.1529 New Zealand Dollar"
"2003","1.7176 New Zealand Dollar"
"2004","1.5053 New Zealand Dollar"
"2005","1.4186 New Zealand Dollar"
"2006","1.5404 New Zealand Dollar"
"2007","1.3578 New Zealand Dollar"
"2008","1.3984 New Zealand Dollar"
"2009","1.5728 New Zealand Dollar"
"2010","1.3858 New Zealand Dollar"
"2011","1.2630 New Zealand Dollar"
"2012","1.2338 New Zealand Dollar"
"2013","1.2189 New Zealand Dollar"
"2014","1.2029 New Zealand Dollar"
"2015","1.4284 New Zealand Dollar"
"2016","1.4365 New Zealand Dollar"
"2017","1.4074 New Zealand Dollar"
"2018","1.4453 New Zealand Dollar"
"2019","1.5269 New Zealand Dollar"
"2020","1.5400 New Zealand Dollar"
"2021","1.4138 New Zealand Dollar"
"2022","1.5772 New Zealand Dollar"
"2023","1.6289 New Zealand Dollar"
"2024","1.6536 New Zealand Dollar"
"Norway, 1600 - 2025"
"1915","3.8641 Kroner"
"1916","3.4931 Kroner"
"1917","3.2714 Kroner"
"1918","3.2423 Kroner"
"1919","4.0690 Kroner"
"1920","6.0496 Kroner"
"1921","6.7084 Kroner"
"1922","5.7138 Kroner"
"1923","5.9984 Kroner"
"1924","7.1734 Kroner"
"1925","5.5917 Kroner"
"1926","4.4773 Kroner"
"1927","3.8391 Kroner"
"1928","3.7471 Kroner"
"1929","3.7477 Kroner"
"1930","3.7370 Kroner"
"1931","3.9913 Kroner"
"1932","5.5544 Kroner"
"1933","4.6665 Kroner"
"1934","3.9501 Kroner"
"1935","4.0606 Kroner"
"1936","4.0042 Kroner"
"1937","4.0258 Kroner"
"1938","4.0707 Kroner"
"1939","4.3055 Kroner"
"1940","4.4035 Kroner"
"1946","4.9563 Kroner"
"1947","4.9603 Kroner"
"1948","4.9607 Kroner"
"1949","5.4111 Kroner"
"1950","7.1350 Kroner"
"1951","7.1350 Kroner"
"1952","7.1350 Kroner"
"1953","7.1350 Kroner"
"1954","7.1388 Kroner"
"1955","7.1388 Kroner"
"1956","7.1388 Kroner"
"1957","7.1388 Kroner"
"1958","7.1387 Kroner"
"1959","7.1288 Kroner"
"1960","7.1337 Kroner"
"1961","7.1429 Kroner"
"1962","7.1378 Kroner"
"1963","7.1495 Kroner"
"1964","7.1572 Kroner"
"1965","7.1505 Kroner"
"1966","7.1510 Kroner"
"1967","7.1505 Kroner"
"1968","7.1429 Kroner"
"1969","7.1444 Kroner"
"1970","7.1469 Kroner"
"1971","7.0398 Kroner"
"1972","6.5876 Kroner"
"1973","5.7451 Kroner"
"1974","5.5191 Kroner"
"1975","5.2138 Kroner"
"1976","5.4564 Kroner"
"1977","5.3223 Kroner"
"1978","5.2414 Kroner"
"1979","5.0650 Kroner"
"1980","4.9381 Kroner"
"1981","5.7430 Kroner"
"1982","6.4567 Kroner"
"1983","7.3012 Kroner"
"1984","8.1596 Kroner"
"1985","8.5933 Kroner"
"1986","7.3985 Kroner"
"1987","6.7409 Kroner"
"1988","6.5243 Kroner"
"1989","6.9131 Kroner"
"1990","6.2541 Kroner"
"1991","6.4912 Kroner"
"1992","6.2142 Kroner"
"1993","7.1009 Kroner"
"1994","7.0553 Kroner"
"1995","6.3355 Kroner"
"1996","6.4594 Kroner"
"1997","7.0857 Kroner"
"1998","7.5521 Kroner"
"1999","7.8071 Kroner"
"2000","8.8131 Kroner"
"2001","8.9964 Kroner"
"2002","7.9839 Kroner"
"2003","7.0803 Kroner"
"2004","6.7399 Kroner"
"2005","6.4412 Kroner"
"2006","6.4095 Kroner"
"2007","5.8557 Kroner"
"2008","5.6365 Kroner"
"2009","6.2908 Kroner"
"2010","6.0451 Kroner"
"2011","5.6020 Kroner"
"2012","5.8181 Kroner"
"2013","5.8772 Kroner"
"2014","6.2969 Kroner"
"2015","8.0681 Kroner"
"2016","8.4000 Kroner"
"2017","8.2717 Kroner"
"2018","8.1325 Kroner"
"2019","8.8000 Kroner"
"2020","9.4200 Kroner"
"2021","8.5900 Kroner"
"2022","9.6142 Kroner"
"2023","10.5633 Kroner"
"2024","10.7497 Kroner"
"Peru, 1600 - 2025"
"1948","16.1000 Soles"
"1949","14.8100 Soles"
"1950","14.9500 Soles"
"1951","15.2800 Soles"
"1952","15.6000 Soles"
"1953","19.8900 Soles"
"1954","19.0000 Soles"
"1955","19.0000 Soles"
"1956","19.0000 Soles"
"1957","19.0000 Soles"
"1958","23.8600 Soles"
"1959","27.9000 Soles"
"1960","27.2992 Soles"
"1961","26.8167 Soles"
"1962","26.8200 Soles"
"1963","26.8200 Soles"
"1964","26.8200 Soles"
"1965","26.8200 Soles"
"1966","26.8200 Soles"
"1967","30.2483 Soles"
"1968","38.7000 Soles"
"1969","38.7000 Soles"
"1970","38.7000 Soles"
"1971","38.7000 Soles"
"1972","38.7000 Soles"
"1973","38.7000 Soles"
"1974","38.7000 Soles"
"1975","40.3708 Soles"
"1976","55.7558 Soles"
"1977","84.2348 Soles"
"1978","156.3490 Soles"
"1979","224.7190 Soles"
"1980","288.8550 Soles"
"1981","422.3180 Soles"
"1982","697.5670 Soles"
"1983","1628.6300 Soles"
"1984","3466.8500 Soles"
"1985","10.9749 Intis"
"1986","13.9475 Intis"
"1987","16.8358 Intis"
"1988","128.8320 Intis"
"1989","2666.1900 Intis"
"1990","187886.0000 Intis"
"1991","0.7725 New Soles"
"1992","1.2458 New Soles"
"1993","1.9883 New Soles"
"1994","2.1950 New Soles"
"1995","2.2533 New Soles"
"1996","2.4533 New Soles"
"1997","2.6642 New Soles"
"1998","2.9300 New Soles"
"1999","3.3833 New Soles"
"2000","3.4900 New Soles"
"2001","3.5068 New Soles"
"2002","3.5165 New Soles"
"2003","3.4785 New Soles"
"2004","3.4132 New Soles"
"2005","3.2958 New Soles"
"2006","3.2744 New Soles"
"2007","3.1280 New Soles"
"2008","2.9244 New Soles"
"2009","3.0115 New Soles"
"2010","2.8251 New Soles"
"2011","2.7540 New Soles"
"2012","2.6380 New Soles"
"2013","2.7020 New Soles"
"2014","2.8400 New Soles"
"2015","3.1800 New Soles"
"2016","3.3266 New Soles"
"2017","3.2230 New Soles"
"2018","3.2900 New Soles"
"2019","3.3400 New Soles"
"2020","3.4900 New Soles"
"2021","3.8800 New Soles"
"2022","3.8340 New Soles"
"2023","3.7416 New Soles"
"2024","3.7538 New Soles"
"Philippines, 1600 - 2025"
"1948","2.000 Peso"
"1949","2.000 Peso"
"1950","2.000 Peso"
"1951","2.000 Peso"
"1952","2.000 Peso"
"1953","2.000 Peso"
"1954","2.000 Peso"
"1955","2.000 Peso"
"1956","2.000 Peso"
"1957","2.000 Peso"
"1958","2.000 Peso"
"1959","2.000 Peso"
"1960","2.015 Peso"
"1961","2.020 Peso"
"1962","3.728 Peso"
"1963","3.910 Peso"
"1964","3.910 Peso"
"1965","3.909 Peso"
"1966","3.900 Peso"
"1967","3.900 Peso"
"1968","3.900 Peso"
"1969","3.900 Peso"
"1970","5.904 Peso"
"1971","6.432 Peso"
"1972","6.675 Peso"
"1973","6.756 Peso"
"1974","6.788 Peso"
"1975","7.248 Peso"
"1976","7.440 Peso"
"1977","7.403 Peso"
"1978","7.366 Peso"
"1979","7.378 Peso"
"1980","7.511 Peso"
"1981","7.900 Peso"
"1982","8.540 Peso"
"1983","11.113 Peso"
"1984","16.699 Peso"
"1985","18.607 Peso"
"1986","20.386 Peso"
"1987","20.568 Peso"
"1988","21.095 Peso"
"1989","21.737 Peso"
"1990","24.311 Peso"
"1991","27.479 Peso"
"1992","25.512 Peso"
"1993","27.120 Peso"
"1994","26.417 Peso"
"1995","25.715 Peso"
"1996","26.216 Peso"
"1997","29.471 Peso"
"1998","40.893 Peso"
"1999","39.089 Peso"
"2000","44.192 Peso"
"2001","50.993 Peso"
"2002","51.604 Peso"
"2003","54.203 Peso"
"2004","56.040 Peso"
"2005","55.086 Peso"
"2006","51.314 Peso"
"2007","46.148 Peso"
"2008","44.323 Peso"
"2009","47.680 Peso"
"2010","45.110 Peso"
"2011","43.313 Peso"
"2012","42.229 Peso"
"2013","42.446 Peso"
"2014","44.395 Peso"
"2015","45.500 Peso"
"2016","47.492 Peso"
"2017","50.404 Peso"
"2018","52.661 Peso"
"2019","51.800 Peso"
"2020","49.620 Peso"
"2021","49.255 Peso"
"2022","54.478 Peso"
"2023","55.630 Peso"
"2024","57.291 Peso"
"Portugal, 1600 - 2025"
"1916","1.4596 Escudo"
"1917","1.5067 Escudo"
"1918","1.5744 Escudo"
"1921","10.0231 Escudo"
"1922","14.9925 Escudo"
"1923","23.5145 Escudo"
"1924","29.5421 Escudo"
"1925","19.8425 Escudo"
"1926","19.5107 Escudo"
"1927","19.8847 Escudo"
"1928","22.3839 Escudo"
"1929","22.3644 Escudo"
"1930","22.2519 Escudo"
"1931","23.5655 Escudo"
"1932","31.2891 Escudo"
"1933","25.5330 Escudo"
"1934","21.6972 Escudo"
"1935","22.4341 Escudo"
"1936","22.1582 Escudo"
"1937","22.3254 Escudo"
"1938","22.5902 Escudo"
"1939","24.7678 Escudo"
"1940","26.9469 Escudo"
"1941","24.9856 Escudo"
"1946","24.6907 Escudo"
"1947","24.8305 Escudo"
"1948","24.8861 Escudo"
"1949","25.7732 Escudo"
"1950","28.8151 Escudo"
"1951","28.7861 Escudo"
"1952","28.6919 Escudo"
"1953","28.6640 Escudo"
"1954","28.6533 Escudo"
"1955","28.6533 Escudo"
"1956","28.6533 Escudo"
"1957","28.6533 Escudo"
"1958","28.6533 Escudo"
"1959","28.5984 Escudo"
"1960","28.6229 Escudo"
"1961","28.6459 Escudo"
"1962","28.5829 Escudo"
"1963","28.6607 Escudo"
"1964","28.7356 Escudo"
"1965","28.7117 Escudo"
"1966","28.7150 Escudo"
"1967","28.7488 Escudo"
"1968","28.6829 Escudo"
"1969","28.5608 Escudo"
"1970","28.5894 Escudo"
"1971","28.2040 Escudo"
"1972","27.0102 Escudo"
"1973","24.3427 Escudo"
"1974","25.3126 Escudo"
"1975","25.4544 Escudo"
"1976","30.1577 Escudo"
"1977","38.1185 Escudo"
"1978","43.8943 Escudo"
"1979","48.9530 Escudo"
"1980","50.0820 Escudo"
"1981","61.7390 Escudo"
"1982","80.1010 Escudo"
"1983","111.6100 Escudo"
"1984","147.7000 Escudo"
"1985","172.0700 Escudo"
"1986","149.8000 Escudo"
"1987","141.2000 Escudo"
"1988","144.2700 Escudo"
"1989","157.5300 Escudo"
"1990","142.7000 Escudo"
"1991","144.7700 Escudo"
"1992","135.0700 Escudo"
"1993","161.0800 Escudo"
"1994","165.9300 Escudo"
"1995","149.8800 Escudo"
"1996","154.2800 Escudo"
"1997","175.4400 Escudo"
"1998","180.2500 Escudo"
"1999","213.5700 Escudo"
"Singapore, 1600 - 2025"
"1981","2.1053 Singapore Dollar"
"1982","2.1406 Singapore Dollar"
"1983","2.1136 Singapore Dollar"
"1984","2.1325 Singapore Dollar"
