"Citation: Lawrence H. Officer, 'Exchange Rates Between the United States Dollar and Forty-one Currencies,' MeasuringWorth, 2025. "
The table(s) present the price of one United States Dollar.
"Argentina, 1600 - 2025"
"1995","29.4720 Francs"
"1996","30.9700 Francs"
"1997","35.8070 Francs"
"1998","36.3100 Francs"
"1999","42.9740 Francs"
"Brazil, 1600 - 2025"
"1916","4.2100 Milreis"
"1917","3.9957 Milreis"
"1918","3.9505 Milreis"
"1919","3.7404 Milreis"
"1920","4.4419 Milreis"
"1921","7.6220 Milreis"
"1922","7.7228 Milreis"
"1923","9.7766 Milreis"
"1924","9.1405 Milreis"
"1925","8.1993 Milreis"
"1926","6.9273 Milreis"
"1927","8.4472 Milreis"
"1928","8.3516 Milreis"
"1929","8.4694 Milreis"
"1930","9.3339 Milreis"
"1931","14.2268 Milreis"
"1932","14.0404 Milreis"
"1933","12.5581 Milreis"
"1934","11.8669 Milreis"
"1935","12.0559 Milreis"
"1936","11.6712 Milreis"
"1937","11.5691 Milreis"
"1938","17.1122 Milreis"
"1939","16.6592 Milreis"
"1940","16.5120 Milreis"
"1941","16.5085 Milreis"
"1948","18.9906 Old Cruzeiros"
"1949","18.9906 Old Cruzeiros"
"1950","18.9906 Old Cruzeiros"
"1951","18.9906 Old Cruzeiros"
"1952","18.9906 Old Cruzeiros"
"1953","42.9788 Old Cruzeiros"
"1954","60.9699 Old Cruzeiros"
"1955","70.9649 Old Cruzeiros"
"1956","69.9654 Old Cruzeiros"
"1957","75.9625 Old Cruzeiros"
"1958","128.9360 Old Cruzeiros"
"1959","150.9250 Old Cruzeiros"
"1960","186.9080 Old Cruzeiros"
"1961","269.8670 Old Cruzeiros"
"1962","387.8080 Old Cruzeiros"
"1963","574.7160 Old Cruzeiros"
"1964","1252.3800 Old Cruzeiros"
"1965","1898.0600 Old Cruzeiros"
"1966","2218.9000 Old Cruzeiros"
"1967","2.6627 (New) Cruzeiros"
"1968","3.3943 (New) Cruzeiros"
"1969","4.0730 (New) Cruzeiros"
"1970","4.5907 (New) Cruzeiros"
"1971","5.2854 (New) Cruzeiros"
"1972","5.9311 (New) Cruzeiros"
"1973","6.1230 (New) Cruzeiros"
